symbol,div_type,atr,rr,train_trades,train_r,train_wr,test_trades,test_r,test_wr
RENDERUSDT,REG_BEAR,1.0,9.0,32,25.17,18.8,9,-9.86,0.0
RESOLVUSDT,HID_BULL,1.5,9.0,19,30.24,26.3,8,11.51,25.0
RIVERUSDT,HID_BULL,1.5,3.0,9,14.73,66.7,9,14.88,66.7
ROSEUSDT,HID_BULL,1.0,10.0,30,22.34,16.7,9,12.17,22.2
SANDUSDT,REG_BEAR,2.0,8.0,23,20.71,21.7,6,11.61,33.3
SEIUSDT,REG_BEAR,1.0,10.0,27,58.35,29.6,11,-12.46,0.0
SHIB1000USDT,HID_BEAR,1.0,9.0,46,28.49,17.4,16,-18.39,0.0
SOLUSDT,HID_BEAR,1.0,8.0,50,34.73,20.0,21,-14.79,4.8
SPXUSDT,HID_BEAR,1.0,1.5,48,17.11,56.2,17,4.42,52.9
SSVUSDT,HID_BEAR,2.0,6.0,44,45.33,29.5,20,0.14,15.0
STRKUSDT,HID_BEAR,1.0,9.0,56,29.99,16.1,17,11.65,17.6
SUIUSDT,HID_BEAR,1.0,9.0,47,29.18,17.0,17,1.36,11.8
SYNUSDT,REG_BEAR,2.0,10.0,27,92.84,40.7,6,4.64,16.7
TAOUSDT,HID_BEAR,1.0,9.0,41,26.11,17.1,20,8.11,15.0
TIAUSDT,HID_BEAR,1.0,7.0,50,10.31,16.0,16,-1.28,12.5
TONUSDT,REG_BEAR,2.0,10.0,40,12.17,12.5,4,-4.32,0.0
TRUMPUSDT,HID_BEAR,1.5,10.0,49,79.61,24.5,21,42.82,28.6
TRXUSDT,HID_BULL,2.0,9.0,47,46.52,21.3,19,7.47,15.8
UNIUSDT,REG_BEAR,1.5,5.0,24,22.3,33.3,10,1.12,20.0
USELESSUSDT,REG_BEAR,1.5,10.0,15,28.66,26.7,3,-3.09,0.0
WIFUSDT,REG_BEAR,1.0,8.0,27,52.14,33.3,8,-8.83,0.0
WLDUSDT,REG_BEAR,1.5,5.0,30,34.41,36.7,13,-7.91,7.7
WLFIUSDT,HID_BEAR,1.5,6.0,14,6.11,21.4,3,-3.19,0.0
XAUTUSDT,REG_BULL,2.0,10.0,21,15.51,19.0,9,55.16,66.7
XCNUSDT,HID_BEAR,1.0,8.0,70,31.74,17.1,27,6.48,14.8
XLMUSDT,HID_BEAR,1.0,9.0,62,19.85,14.5,24,23.03,20.8
XMRUSDT,HID_BULL,2.0,9.0,53,13.89,13.2,18,-8.76,5.6
XPLUSDT,HID_BEAR,1.5,10.0,27,16.15,14.8,4,6.76,25.0
XRPUSDT,HID_BULL,2.0,10.0,42,21.29,14.3,6,15.48,33.3
ZECUSDT,REG_BULL,1.5,9.0,24,34.59,25.0,3,6.91,33.3
ZENUSDT,HID_BULL,1.0,2.0,44,12.17,45.5,12,-9.75,8.3
ZROUSDT,REG_BEAR,1.0,10.0,24,29.01,20.8,8,-8.86,0.0
