/Users/lualakol/Library/Python/3.9/lib/python/site-packages/pandas_ta/__init__.py:7: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import get_distribution, DistributionNotFound
2025-12-04 20:31:26,582 - [71/400] ATUSDT ⚠️ No valid setup
2025-12-04 20:31:27,732 - [72/400] AUCTIONUSDT ⚠️ No valid setup
2025-12-04 20:31:28,351 - [73/400] AUSDT ⚠️ No valid setup
2025-12-04 20:31:29,765 - [74/400] AVAAIUSDT ⚠️ No valid setup
2025-12-04 20:31:30,353 - [75/400] AVAUSDT ⚠️ No valid setup
2025-12-04 20:31:30,988 - [76/400] AVAXUSDT ⚠️ No valid setup
2025-12-04 20:31:31,584 - [77/400] AVLUSDT ⚠️ No valid setup
2025-12-04 20:31:32,163 - [78/400] AVNTUSDT ⚠️ No valid setup
2025-12-04 20:31:33,941 - [79/400] AWEUSDT ⚠️ No valid setup
2025-12-04 20:31:35,417 - [80/400] AXLUSDT ⚠️ No valid setup
2025-12-04 20:31:36,753 - [81/400] AXSUSDT ⚠️ No valid setup
2025-12-04 20:31:38,084 - [82/400] B2USDT ⚠️ No valid setup
2025-12-04 20:31:39,412 - [83/400] B3USDT ⚠️ No valid setup
2025-12-04 20:31:40,756 - [84/400] BABYUSDT ⚠️ No valid setup
2025-12-04 20:31:42,105 - [85/400] BANANAS31USDT ⚠️ No valid setup
2025-12-04 20:31:43,435 - [86/400] BANANAUSDT ⚠️ No valid setup
2025-12-04 20:31:44,018 - [87/400] BANDUSDT ⚠️ No valid setup
2025-12-04 20:31:45,406 - [88/400] BANKUSDT ⚠️ No valid setup
2025-12-04 20:31:46,738 - [89/400] BANUSDT ⚠️ No valid setup
2025-12-04 20:31:48,143 - [90/400] BARDUSDT ⚠️ No valid setup
2025-12-04 20:31:48,832 - [91/400] BATUSDT ⚠️ No valid setup
2025-12-04 20:31:50,168 - [92/400] BBUSDT ⚠️ No valid setup
2025-12-04 20:31:51,041 - [93/400] BCHUSDT ⚠️ No valid setup
2025-12-04 20:31:51,890 - [94/400] BEAMUSDT ⚠️ No valid setup
2025-12-04 20:31:52,488 - [95/400] BEATUSDT ⚠️ No valid setup
2025-12-04 20:31:53,610 - [96/400] BELUSDT ⚠️ No valid setup
2025-12-04 20:31:54,735 - [97/400] BERAUSDT ⚠️ No valid setup
2025-12-04 20:31:56,600 - [98/400] BICOUSDT ⚠️ No valid setup
2025-12-04 20:31:57,470 - [99/400] BIGTIMEUSDT ⚠️ No valid setup
2025-12-04 20:32:00,012 - [100/400] BIOUSDT ⚠️ No valid setup
2025-12-04 20:32:01,354 - [101/400] BLASTUSDT ⚠️ No valid setup
2025-12-04 20:32:01,929 - [102/400] BLESSUSDT ⚠️ No valid setup
2025-12-04 20:32:03,262 - [103/400] BLUAIUSDT ⚠️ No valid setup
2025-12-04 20:32:03,845 - [104/400] BLURUSDT ⚠️ No valid setup
2025-12-04 20:32:05,192 - [105/400] BMTUSDT ⚠️ No valid setup
2025-12-04 20:32:05,774 - [106/400] BNBUSDT ⚠️ No valid setup
2025-12-04 20:32:06,375 - [107/400] BNTUSDT ⚠️ No valid setup
2025-12-04 20:32:07,739 - [108/400] BOBAUSDT ⚠️ No valid setup
2025-12-04 20:32:09,072 - [109/400] BOBBOBUSDT ⚠️ No valid setup
2025-12-04 20:32:10,440 - [110/400] BOMEUSDT ⚠️ No valid setup
2025-12-04 20:32:11,836 - [111/400] BRETTUSDT ⚠️ No valid setup
2025-12-04 20:32:12,496 - [112/400] BROCCOLIUSDT ⚠️ No valid setup
2025-12-04 20:32:14,015 - [113/400] BRUSDT ⚠️ No valid setup
2025-12-04 20:32:15,440 - [114/400] BSUUSDT ⚠️ No valid setup
2025-12-04 20:32:16,078 - [115/400] BSVUSDT ⚠️ No valid setup
2025-12-04 20:32:17,425 - [116/400] BTCUSDT ⚠️ No valid setup
2025-12-04 20:32:18,970 - [117/400] BTRUSDT ⚠️ No valid setup
2025-12-04 20:32:19,641 - [118/400] BUSDT ⚠️ No valid setup
2025-12-04 20:32:21,368 - [119/400] C98USDT ⚠️ No valid setup
2025-12-04 20:32:21,944 - [120/400] CAKEUSDT ⚠️ No valid setup
2025-12-04 20:32:22,646 - [121/400] CAMPUSDT ⚠️ No valid setup
2025-12-04 20:32:23,554 - [122/400] CARVUSDT ⚠️ No valid setup
2025-12-04 20:32:24,934 - [123/400] CATIUSDT ⚠️ No valid setup
2025-12-04 20:32:26,322 - [124/400] CCUSDT ⚠️ No valid setup
2025-12-04 20:32:27,726 - [125/400] CELOUSDT ⚠️ No valid setup
