symbol,rr,trades,wins,wr,total_r,avg_r
DIAUSDT,9.0,28,5,17.9,19.24,0.6872517813961572
SXPUSDT,8.0,31,6,19.4,19.21,0.6197557568937906
USUALUSDT,7.0,34,7,20.6,19.19,0.5645496934445611
MANAUSDT,5.0,26,8,30.8,19.14,0.7362775615178137
LINKUSDT,9.0,37,6,16.2,18.76,0.5069265925606092
SUNUSDT,8.0,21,5,23.8,18.64,0.8875440065623463
ENAUSDT,8.0,25,5,20.0,18.46,0.7382661990627316
QNTUSDT,8.0,32,6,18.8,18.43,0.5760047135467
NSUSDT,10.0,24,4,16.7,18.11,0.754737710522304
SOMIUSDT,10.0,15,3,20.0,17.57,1.171646167979792
COTIUSDT,10.0,25,4,16.0,17.44,0.6977843179383721
ONEUSDT,6.0,29,7,24.1,17.31,0.5969007427239607
ALGOUSDT,8.0,25,5,20.0,17.3,0.6919436183336997
SCUSDT,9.0,29,5,17.2,17.27,0.595550937806457
ARPAUSDT,8.0,25,5,20.0,16.97,0.6786361633274522
MEMEUSDT,4.0,31,10,32.3,16.86,0.5439275185018635
IMXUSDT,10.0,25,4,16.0,16.83,0.6733868841973498
ACEUSDT,7.0,29,6,20.7,16.81,0.5795382744383939
LUNA2USDT,8.0,34,6,17.6,16.75,0.49277560969087353
AKTUSDT,6.0,23,6,26.1,16.63,0.7232094814635397
COREUSDT,6.0,23,6,26.1,16.6,0.7215996468581511
PROVEUSDT,5.0,18,6,33.3,16.55,0.9197167193490022
10000ELONUSDT,10.0,25,4,16.0,16.47,0.6586367401403521
IOSTUSDT,5.0,23,7,30.4,16.0,0.6956929768238124
GPSUSDT,7.0,23,5,21.7,15.81,0.6873865441189968
MAVIAUSDT,7.0,23,5,21.7,15.74,0.6844354936223569
DUSKUSDT,10.0,26,4,15.4,15.71,0.6041920266335118
FILUSDT,5.0,24,7,29.2,15.58,0.6492336411097575
BIGTIMEUSDT,10.0,26,4,15.4,15.27,0.5872155263775842
OGNUSDT,4.0,27,9,33.3,15.22,0.5636564107724716
STRKUSDT,7.0,23,5,21.7,15.19,0.6606026041025037
ORDIUSDT,8.0,36,6,16.7,15.02,0.4172557764205169
AWEUSDT,10.0,26,4,15.4,15.01,0.5771524232074572
LTCUSDT,10.0,26,4,15.4,14.88,0.5721559884769565
SHELLUSDT,5.0,31,8,25.8,14.72,0.4748904725096013
CROUSDT,9.0,23,4,17.4,14.69,0.6386221914530177
ARUSDT,8.0,28,5,17.9,14.69,0.5246220844067668
API3USDT,9.0,32,5,15.6,14.64,0.45748701130619873
AUCTIONUSDT,8.0,28,5,17.9,14.5,0.5180097067261317
THETAUSDT,8.0,28,5,17.9,14.38,0.5135394686692689
FWOGUSDT,6.0,33,7,21.2,14.31,0.4336659832555323
COOKUSDT,8.0,20,4,20.0,13.98,0.6988071500530026
1000CATUSDT,7.0,24,5,20.8,13.93,0.5804074369677584
BICOUSDT,6.0,32,7,21.9,13.88,0.4338868317601477
ESPORTSUSDT,9.0,25,4,16.0,13.5,0.5401460981251924
GASUSDT,10.0,17,3,17.6,13.48,0.792717357766988
DOTUSDT,6.0,19,5,26.3,13.26,0.6979609469349465
ALPINEUSDT,10.0,18,3,16.7,13.19,0.7326041908254487
CVXUSDT,6.0,27,6,22.2,12.47,0.4619775884779006
SCRTUSDT,4.0,30,9,30.0,12.32,0.41056241359263107
COWUSDT,9.0,26,4,15.4,11.98,0.4606285356891834
ARBUSDT,9.0,26,4,15.4,11.6,0.44633866377923587
RPLUSDT,6.0,28,6,21.4,11.47,0.4098060311606253
1000TURBOUSDT,7.0,34,6,17.6,11.46,0.3370777089461173
CHZUSDT,8.0,30,5,16.7,11.44,0.38132339450812636
HMSTRUSDT,5.0,28,7,25.0,11.42,0.4079582084988725
ACXUSDT,5.0,17,5,29.4,11.28,0.6636322701556971
1000LUNCUSDT,6.0,21,5,23.8,11.22,0.5343196530518016
BANUSDT,6.0,29,6,20.7,11.03,0.3802454840907885
TRBUSDT,4.0,31,9,29.0,10.95,0.3533277900281705
GMXUSDT,6.0,34,7,20.6,10.89,0.320239290412162
SUSDT,7.0,34,6,17.6,10.81,0.31796334301963575
AVAXUSDT,8.0,23,4,17.4,10.44,0.4537997800036986
SONICUSDT,6.0,22,5,22.7,10.31,0.4687378947453208
AVAAIUSDT,7.0,28,5,17.9,10.3,0.3677706243108833
INUSDT,8.0,16,3,18.8,10.14,0.6338589414830997
JASMYUSDT,8.0,32,5,15.6,9.94,0.3105183422788842
RUNEUSDT,4.0,27,8,29.6,9.93,0.3678862303774415
RESOLVUSDT,5.0,25,6,24.0,9.86,0.39450919610015617
FARTCOINUSDT,7.0,21,4,19.0,9.79,0.46619563656250373
ATOMUSDT,7.0,41,7,17.1,9.75,0.23791347318601808
PROMPTUSDT,9.0,19,3,15.8,9.65,0.5080255997524175
STXUSDT,5.0,29,7,24.1,9.56,0.3297433813606907
10000QUBICUSDT,6.0,24,5,20.8,9.48,0.3948613818484675
VELVETUSDT,4.0,24,7,29.2,9.47,0.3944759854439954
BATUSDT,4.0,28,8,28.6,9.47,0.33825634468328397
APEUSDT,8.0,32,5,15.6,9.44,0.2949549296532273
BNTUSDT,6.0,35,7,20.0,9.42,0.26915927191720623
PEOPLEUSDT,5.0,30,7,23.3,9.39,0.3130449913743502
ORBSUSDT,9.0,26,4,15.4,9.37,0.3602266202846376
STBLUSDT,4.0,15,5,33.3,9.29,0.6193722223522979
SQDUSDT,4.0,25,7,28.0,8.82,0.35294842036008917
OPENUSDT,9.0,20,3,15.0,8.66,0.432790443172529
FLOWUSDT,4.0,28,8,28.6,8.49,0.30328037298622207
PUFFERUSDT,8.0,26,4,15.4,8.46,0.32545379089969606
PENDLEUSDT,6.0,18,4,22.2,8.41,0.4670929581580913
IOUSDT,5.0,31,7,22.6,8.32,0.2685096690935877
POLUSDT,5.0,25,6,24.0,8.29,0.3314792140914
MOODENGUSDT,6.0,25,5,20.0,8.21,0.3282189088318585
TNSRUSDT,6.0,25,5,20.0,8.13,0.32508417597073885
AGIUSDT,9.0,20,3,15.0,8.12,0.4060439730013985
JSTUSDT,6.0,22,5,22.7,8.06,0.366221942952993
LAUSDT,4.0,16,5,31.2,7.82,0.48886294621175774
10000SATSUSDT,4.0,25,7,28.0,7.62,0.3046991333974886
SIRENUSDT,8.0,26,4,15.4,7.59,0.2920956734415748
TLMUSDT,5.0,26,6,23.1,7.48,0.28787138810965757
DOODUSDT,6.0,26,5,19.2,7.13,0.27438689491830187
AVAUSDT,4.0,25,7,28.0,7.13,0.28507693111658866
CELOUSDT,7.0,30,5,16.7,7.05,0.23501160838849847
1000000BABYDOGEUSDT,5.0,21,5,23.8,7.02,0.33428033783253847
AIOUSDT,7.0,16,3,18.8,6.95,0.43418446135497624
TIAUSDT,5.0,27,6,22.2,6.81,0.2520590568375915
SNXUSDT,4.0,26,7,26.9,6.75,0.25972891192632697
CVCUSDT,4.0,34,9,26.5,6.67,0.1960577423780358
OLUSDT,8.0,19,3,15.8,6.63,0.34874369714115155
1000PEPEUSDT,5.0,27,6,22.2,6.44,0.23856475828049936
ENSUSDT,7.0,23,4,17.4,6.42,0.2791474923780074
RDNTUSDT,5.0,33,7,21.2,6.13,0.18564187286065922
RVNUSDT,5.0,32,7,21.9,6.12,0.19132528511924712
METISUSDT,7.0,24,4,16.7,6.02,0.2508382624526993
DYMUSDT,4.0,27,7,25.9,5.78,0.21420696431797828
SAHARAUSDT,4.0,31,8,25.8,5.7,0.18390298315436784
ROSEUSDT,6.0,21,4,19.0,5.53,0.263106674004853
AXLUSDT,5.0,28,6,21.4,5.4,0.19273281181702012
MERLUSDT,5.0,23,5,21.7,5.27,0.22917020692191722
ETHUSDT,6.0,26,5,19.2,5.19,0.19945342358832924
PUMPFUNUSDT,4.0,29,7,24.1,4.43,0.15284322399323733
STORJUSDT,6.0,33,6,18.2,4.41,0.13364244175258894
EPTUSDT,6.0,16,3,18.8,4.04,0.25272586544286463
PUNDIXUSDT,6.0,21,4,19.0,3.99,0.18978528359319158
CTSIUSDT,5.0,24,5,20.8,3.81,0.15890201682472962
JTOUSDT,5.0,30,6,20.0,3.7,0.12342418245323543
BLURUSDT,6.0,41,7,17.1,3.69,0.09002848258471756
HYPEUSDT,5.0,41,8,19.5,3.68,0.0898215868855951
SSVUSDT,4.0,24,6,25.0,3.67,0.1528415749789118
SYRUPUSDT,4.0,34,8,23.5,3.65,0.10724782146715327
SKYAIUSDT,4.0,25,6,24.0,3.47,0.13869972522933463
HIGHUSDT,4.0,29,7,24.1,3.19,0.110168456246103
IPUSDT,4.0,25,6,24.0,2.98,0.1190536488406048
AVLUSDT,6.0,30,5,16.7,2.97,0.09885513543176966
IOTAUSDT,6.0,29,5,17.2,2.93,0.10102035393049244
LISTAUSDT,4.0,25,6,24.0,2.88,0.11535913853771274
ICNTUSDT,6.0,24,4,16.7,2.82,0.1176685253745247
HUSDT,4.0,26,6,23.1,2.79,0.10718975129371831
1000XECUSDT,4.0,24,6,25.0,2.74,0.11437348232614752
SOLUSDT,4.0,29,7,24.1,2.68,0.09257234270066635
USELESSUSDT,5.0,21,4,19.0,2.31,0.11008523472774316
ETCUSDT,7.0,33,5,15.2,2.27,0.06870491838920362
BBUSDT,5.0,26,5,19.2,2.23,0.08575944990946188
ATHUSDT,4.0,26,6,23.1,2.06,0.07921452681175434
AXSUSDT,4.0,30,7,23.3,1.9,0.06336799658960483
DODOUSDT,4.0,35,8,22.9,1.83,0.05241108488895298
OBTUSDT,6.0,24,4,16.7,1.78,0.07416685465959323
MORPHOUSDT,4.0,26,6,23.1,1.51,0.05817937998413795
KERNELUSDT,4.0,22,5,22.7,1.49,0.06756844014446711
OPUSDT,4.0,31,7,22.6,1.25,0.04026918478398916
CETUSUSDT,5.0,32,6,18.8,1.23,0.03857073086109037
HNTUSDT,4.0,27,6,22.2,0.78,0.028836571776623236
SUPERUSDT,4.0,27,6,22.2,0.6,0.02228966236375851
DBRUSDT,4.0,22,5,22.7,0.57,0.0258653154954865
EPICUSDT,6.0,26,4,15.4,0.27,0.010545615411433258
LQTYUSDT,4.0,37,8,21.6,0.03,0.0007583209457521192
