symbol,best_rr,total_r,win_rate,trades,avg_r
BTCUSDT,2.0,-181.22,0.263,240,-0.755
ETHUSDT,5.5,-53.04,0.165,224,-0.237
SOLUSDT,2.0,-48.53,0.341,217,-0.224
FLOWUSDT,7.0,-43.45,0.13,200,-0.217
XRPUSDT,8.0,64.26,0.177,203,0.317
ZECUSDT,8.0,-34.23,0.111,190,-0.18
FARTCOINUSDT,2.0,-19.03,0.33,185,-0.103
STORJUSDT,8.0,-19.82,0.126,174,-0.114
DOGEUSDT,2.5,-82.12,0.238,206,-0.399
ADAUSDT,7.0,-30.69,0.131,183,-0.168
HYPEUSDT,6.0,30.32,0.185,205,0.148
ONTUSDT,4.0,-78.36,0.154,156,-0.502
