symbol,div_type,atr,rr,train_trades,train_r,train_wr,test_trades,test_r,test_wr
DRIFTUSDT,REG_BULL,1.5,1.5,18,3.69,50.0,4,3.29,75.0
DRIFTUSDT,HID_BEAR,2.0,10.0,42,33.2,16.7,14,7.52,14.3
DUSKUSDT,REG_BULL,1.0,10.0,14,28.64,28.6,7,3.55,14.3
DUSKUSDT,REG_BEAR,2.0,10.0,40,13.15,12.5,6,15.7,33.3
DUSKUSDT,HID_BULL,1.0,8.0,34,25.98,20.6,8,18.42,37.5
DYDXUSDT,REG_BULL,1.0,10.0,21,21.06,19.0,3,7.72,33.3
DYDXUSDT,REG_BEAR,1.0,5.0,26,25.38,34.6,17,5.48,23.5
DYDXUSDT,HID_BEAR,1.5,10.0,40,34.61,17.5,13,52.18,46.2
EGLDUSDT,REG_BEAR,1.0,10.0,29,44.74,24.1,7,3.12,14.3
ENAUSDT,REG_BEAR,1.5,2.0,34,15.52,50.0,13,10.2,61.5
ENSOUSDT,HID_BEAR,1.5,8.0,15,2.26,13.3,3,14.78,66.7
ENSUSDT,REG_BEAR,2.0,10.0,28,14.42,14.3,10,11.44,20.0
ENSUSDT,HID_BEAR,2.0,10.0,33,20.35,15.2,16,16.08,18.8
ETHFIUSDT,REG_BEAR,1.0,10.0,28,35.64,21.4,17,3.5,11.8
ETHUSDT,REG_BEAR,1.5,5.0,17,11.45,29.4,9,1.78,22.2
EULUSDT,HID_BEAR,2.0,10.0,17,48.32,35.3,4,6.81,25.0
FARTCOINUSDT,REG_BEAR,1.0,1.5,32,4.05,46.9,7,0.19,42.9
FARTCOINUSDT,HID_BEAR,2.0,10.0,49,4.94,10.2,11,10.7,18.2
FFUSDT,HID_BEAR,1.5,8.0,20,15.07,20.0,6,2.65,16.7
FLOCKUSDT,HID_BEAR,2.0,8.0,45,7.73,13.3,21,5.16,14.3
FLOWUSDT,REG_BEAR,1.5,10.0,31,32.34,19.4,11,10.15,18.2
FLUIDUSDT,REG_BULL,1.0,7.0,7,8.33,28.6,5,2.44,20.0
GALAUSDT,REG_BULL,1.0,1.5,20,5.76,55.0,4,0.71,50.0
GALAUSDT,HID_BULL,1.5,6.0,39,7.63,17.9,8,5.49,25.0
GMTUSDT,REG_BULL,1.0,10.0,21,10.19,14.3,5,5.6,20.0
GOATUSDT,REG_BEAR,1.0,8.0,18,16.74,22.2,11,14.76,27.3
GOATUSDT,HID_BEAR,1.5,10.0,46,18.1,13.0,16,5.19,12.5
GRASSUSDT,HID_BULL,1.0,10.0,43,20.4,14.0,7,3.69,14.3
GRASSUSDT,HID_BEAR,1.0,8.0,56,84.66,28.6,15,1.94,13.3
GRTUSDT,REG_BEAR,1.5,9.0,32,35.69,21.9,6,3.31,16.7
GRTUSDT,HID_BEAR,2.0,8.0,43,18.0,16.3,15,29.14,33.3
GUNUSDT,HID_BULL,1.0,10.0,17,25.96,23.5,13,19.27,23.1
HBARUSDT,REG_BEAR,1.0,10.0,31,20.85,16.1,9,11.94,22.2
HMSTRUSDT,HID_BEAR,1.5,1.5,39,6.29,48.7,17,9.56,64.7
HOLOUSDT,HID_BULL,1.0,5.0,10,13.41,40.0,6,5.55,33.3
HUSDT,REG_BULL,2.0,8.0,15,11.66,20.0,6,11.84,33.3
HYPERUSDT,REG_BEAR,1.0,6.0,28,25.99,28.6,6,0.35,16.7
HYPERUSDT,HID_BEAR,1.0,2.0,36,12.42,47.2,8,6.21,62.5
IMXUSDT,HID_BEAR,2.0,2.0,35,8.52,42.9,18,2.33,38.9
