symbol,timeframe,best_rr,total_r,win_rate,trades,avg_r,profitable
IDUSDT,30M,6.0,-3.56,0.143,21,-0.17,False
INJUSDT,30M,3.5,-3.82,0.211,19,-0.201,False
FLOCKUSDT,30M,6.0,15.43,0.25,24,0.643,True
TIAUSDT,30M,5.5,5.61,0.208,24,0.234,True
SHIB1000USDT,30M,6.0,15.8,0.273,22,0.718,True
WLFIUSDT,30M,6.0,13.67,0.263,19,0.719,True
WETUSDT,30M,2.0,-1.03,0.0,1,-1.032,False
GALAUSDT,30M,3.5,-6.11,0.207,29,-0.211,False
PAXGUSDT,30M,2.5,-21.87,0.211,19,-1.151,False
MOVEUSDT,30M,4.0,-7.85,0.125,16,-0.491,False
ARCUSDT,30M,6.0,-2.46,0.136,22,-0.112,False
L3USDT,30M,3.0,0.42,0.294,17,0.025,True
BTCUSDT,1H,6.0,3.57,0.25,8,0.447,True
ETHUSDT,1H,6.0,10.82,0.333,9,1.202,True
SOLUSDT,1H,4.5,1.95,0.231,13,0.15,True
ZECUSDT,1H,6.0,-4.62,0.091,11,-0.42,False
FLOWUSDT,1H,4.0,5.36,0.308,13,0.412,True
XRPUSDT,1H,5.5,8.01,0.25,16,0.5,True
BEATUSDT,1H,3.0,3.87,0.5,4,0.967,True
FARTCOINUSDT,1H,6.0,15.27,0.333,12,1.273,True
ATUSDT,1H,6.0,2.73,0.25,4,0.681,True
DOGEUSDT,1H,2.0,-4.2,0.25,12,-0.35,False
KAITOUSDT,1H,6.0,25.58,0.4,15,1.706,True
HYPEUSDT,1H,4.0,-0.29,0.214,28,-0.01,False
ONTUSDT,1H,2.5,-12.19,0.118,17,-0.717,False
BCHUSDT,1H,2.0,-2.02,0.35,20,-0.101,False
1000PEPEUSDT,1H,5.5,14.88,0.4,10,1.488,True
ADAUSDT,1H,6.0,11.34,0.267,15,0.756,True
AVNTUSDT,1H,5.0,20.57,0.556,9,2.286,True
ZBTUSDT,1H,6.0,3.77,0.333,3,1.256,True
SUIUSDT,1H,6.0,18.67,0.273,22,0.849,True
XPLUSDT,1H,5.5,1.38,0.182,11,0.126,True
