symbol,div_type,atr,rr,trades,wr,total_r,avg_r
BANKUSDT,HID_BULL,2.0,9.0,10,30.0,19.65,1.965
BANKUSDT,HID_BULL,2.0,10.0,10,30.0,22.65,2.265
SAFEUSDT,REG_BEAR,1.5,3.0,12,50.0,11.12,0.927
BBUSDT,REG_BEAR,1.5,5.0,10,20.0,1.56,0.156
GMXUSDT,REG_BEAR,1.0,1.5,15,53.3,3.11,0.207
BANUSDT,HID_BULL,1.0,4.0,11,27.3,3.18,0.289
SAFEUSDT,REG_BEAR,1.5,4.0,12,50.0,17.12,1.427
BBUSDT,REG_BEAR,1.5,6.0,10,20.0,3.56,0.356
BANUSDT,HID_BULL,1.0,5.0,11,27.3,6.18,0.562
GMXUSDT,REG_BEAR,1.0,2.0,15,46.7,4.11,0.274
BBUSDT,REG_BEAR,1.5,7.0,10,20.0,5.56,0.556
SAFEUSDT,REG_BEAR,1.5,5.0,12,50.0,23.12,1.927
BANUSDT,HID_BULL,1.0,6.0,10,20.0,3.26,0.326
BBUSDT,REG_BEAR,1.5,8.0,10,20.0,7.56,0.756
SAFEUSDT,REG_BEAR,1.5,6.0,12,50.0,29.12,2.427
BANUSDT,HID_BULL,1.0,7.0,10,20.0,5.26,0.526
GMXUSDT,REG_BEAR,1.0,3.0,15,46.7,11.11,0.74
PUFFERUSDT,REG_BEAR,1.0,1.5,10,60.0,4.25,0.425
BBUSDT,REG_BEAR,1.5,9.0,10,20.0,9.56,0.956
BANKUSDT,HID_BEAR,1.0,2.0,29,41.4,4.93,0.17
SAFEUSDT,REG_BEAR,1.5,7.0,12,50.0,35.12,2.927
BANUSDT,HID_BULL,1.0,8.0,10,20.0,7.26,0.726
GMXUSDT,REG_BEAR,1.0,4.0,15,33.3,8.11,0.54
PUFFERUSDT,REG_BEAR,1.0,2.0,10,60.0,7.25,0.725
BBUSDT,REG_BEAR,1.5,10.0,10,20.0,11.56,1.156
BANUSDT,HID_BULL,1.0,9.0,10,20.0,9.26,0.926
SAFEUSDT,REG_BEAR,1.5,8.0,12,50.0,41.12,3.427
PUFFERUSDT,REG_BEAR,1.0,3.0,10,50.0,9.25,0.925
BANUSDT,HID_BULL,1.0,10.0,10,20.0,11.26,1.126
GMXUSDT,REG_BEAR,1.0,5.0,15,33.3,13.11,0.874
BBUSDT,REG_BEAR,2.0,1.5,10,50.0,2.17,0.217
SAFEUSDT,REG_BEAR,1.5,9.0,12,50.0,47.12,3.927
PUFFERUSDT,REG_BEAR,1.0,4.0,10,50.0,14.25,1.425
BBUSDT,REG_BEAR,2.0,2.0,10,50.0,4.67,0.467
PUFFERUSDT,REG_BEAR,1.0,5.0,10,50.0,19.25,1.925
GMXUSDT,REG_BEAR,1.0,6.0,15,33.3,18.11,1.207
SAFEUSDT,REG_BEAR,1.5,10.0,12,50.0,53.12,4.427
PUFFERUSDT,REG_BEAR,1.0,6.0,10,50.0,24.25,2.425
BANKUSDT,HID_BEAR,1.0,4.0,29,27.6,8.93,0.308
BELUSDT,REG_BEAR,1.5,4.0,12,33.3,7.37,0.614
SAFEUSDT,REG_BEAR,2.0,1.5,12,50.0,2.34,0.195
BBUSDT,REG_BEAR,2.0,4.0,10,30.0,4.67,0.467
GMXUSDT,REG_BEAR,1.0,7.0,15,33.3,23.11,1.54
PUFFERUSDT,REG_BEAR,1.0,7.0,10,50.0,29.25,2.925
BANUSDT,HID_BULL,1.5,5.0,10,20.0,1.5,0.15
BELUSDT,REG_BEAR,1.5,5.0,12,25.0,5.37,0.447
BBUSDT,REG_BEAR,2.0,5.0,10,20.0,1.67,0.167
SAFEUSDT,REG_BEAR,2.0,2.0,12,50.0,5.34,0.445
BANKUSDT,HID_BEAR,1.0,5.0,29,24.1,10.93,0.377
BANUSDT,HID_BULL,1.5,6.0,10,20.0,3.5,0.35
PUFFERUSDT,REG_BEAR,1.0,8.0,10,50.0,34.25,3.425
GMXUSDT,REG_BEAR,1.0,8.0,15,33.3,28.11,1.874
BBUSDT,REG_BEAR,2.0,6.0,10,20.0,3.67,0.367
BANUSDT,HID_BULL,1.5,7.0,10,20.0,5.5,0.55
SAFEUSDT,REG_BEAR,2.0,3.0,12,50.0,11.34,0.945
PUFFERUSDT,REG_BEAR,1.0,9.0,10,50.0,39.25,3.925
BBUSDT,REG_BEAR,2.0,7.0,10,20.0,5.67,0.567
GMXUSDT,REG_BEAR,1.0,9.0,15,33.3,33.11,2.207
BANUSDT,HID_BULL,1.5,8.0,10,20.0,7.5,0.75
FLUXUSDT,REG_BEAR,1.0,1.5,11,54.5,2.91,0.265
PUFFERUSDT,REG_BEAR,1.0,10.0,10,50.0,44.25,4.425
SAFEUSDT,REG_BEAR,2.0,4.0,12,50.0,17.34,1.445
BBUSDT,REG_BEAR,2.0,8.0,10,20.0,7.67,0.767
BANUSDT,HID_BULL,1.5,9.0,10,20.0,9.5,0.95
FLUXUSDT,REG_BEAR,1.0,2.0,11,45.5,2.91,0.265
PUFFERUSDT,REG_BEAR,1.5,1.5,10,70.0,7.0,0.7
GMXUSDT,REG_BEAR,1.0,10.0,15,33.3,38.11,2.54
BBUSDT,REG_BEAR,2.0,9.0,10,20.0,9.67,0.967
BANUSDT,HID_BULL,1.5,10.0,10,20.0,11.5,1.15
SAFEUSDT,REG_BEAR,2.0,5.0,12,50.0,23.34,1.945
PUFFERUSDT,REG_BEAR,1.5,2.0,10,60.0,7.5,0.75
BBUSDT,REG_BEAR,2.0,10.0,10,20.0,11.67,1.167
GMXUSDT,REG_BEAR,1.5,1.5,15,60.0,6.24,0.416
DYDXUSDT,REG_BEAR,1.0,2.0,15,40.0,1.75,0.117
BARDUSDT,HID_BULL,1.5,1.5,11,54.5,3.38,0.307
SAFEUSDT,REG_BEAR,2.0,6.0,12,50.0,29.34,2.445
PUFFERUSDT,REG_BEAR,1.5,3.0,10,60.0,13.5,1.35
FLUXUSDT,REG_BEAR,1.0,4.0,11,36.4,7.91,0.719
PUFFERUSDT,REG_BEAR,1.5,4.0,10,60.0,19.5,1.95
BARDUSDT,HID_BULL,1.5,2.0,11,45.5,3.38,0.307
SAFEUSDT,REG_BEAR,2.0,7.0,12,50.0,35.34,2.945
GMXUSDT,REG_BEAR,1.5,2.0,15,53.3,7.74,0.516
FLUXUSDT,REG_BEAR,1.0,5.0,11,36.4,11.91,1.083
PUFFERUSDT,REG_BEAR,1.5,5.0,10,60.0,25.5,2.55
BARDUSDT,HID_BULL,1.5,3.0,11,45.5,8.38,0.762
FLUXUSDT,REG_BEAR,1.0,6.0,11,36.4,15.91,1.446
BANUSDT,HID_BULL,2.0,5.0,10,20.0,1.63,0.163
SAFEUSDT,REG_BEAR,2.0,8.0,12,50.0,41.34,3.445
PUFFERUSDT,REG_BEAR,1.5,6.0,10,60.0,31.5,3.15
BARDUSDT,HID_BULL,1.5,4.0,11,36.4,8.38,0.762
DYDXUSDT,REG_BEAR,1.0,4.0,15,26.7,3.75,0.25
1000BONKUSDT,REG_BEAR,1.0,4.0,11,36.4,8.02,0.729
BANUSDT,HID_BULL,2.0,6.0,10,20.0,3.63,0.363
FLUXUSDT,REG_BEAR,1.0,7.0,11,36.4,19.91,1.81
SAFEUSDT,REG_BEAR,2.0,9.0,12,50.0,47.34,3.945
BARDUSDT,HID_BULL,1.5,5.0,11,36.4,12.38,1.125
GMXUSDT,REG_BEAR,1.5,4.0,15,33.3,8.74,0.582
BANUSDT,HID_BULL,2.0,7.0,10,20.0,5.63,0.563
FLUXUSDT,REG_BEAR,1.0,8.0,11,36.4,23.91,2.174
DYDXUSDT,REG_BEAR,1.0,5.0,15,26.7,7.75,0.517
1000BONKUSDT,REG_BEAR,1.0,5.0,11,27.3,6.02,0.548
SAFEUSDT,REG_BEAR,2.0,10.0,12,50.0,53.34,4.445
BANUSDT,HID_BULL,2.0,8.0,10,20.0,7.63,0.763
BARDUSDT,HID_BULL,1.5,6.0,11,27.3,9.38,0.853
FLUXUSDT,REG_BEAR,1.0,9.0,11,36.4,27.91,2.537
GMXUSDT,REG_BEAR,1.5,5.0,15,33.3,13.74,0.916
DYDXUSDT,REG_BEAR,1.0,6.0,15,26.7,11.75,0.784
BANUSDT,HID_BULL,2.0,9.0,10,20.0,9.63,0.963
BARDUSDT,HID_BULL,1.5,7.0,11,27.3,12.38,1.125
ARCUSDT,HID_BULL,1.0,1.5,20,55.0,6.58,0.329
FLUXUSDT,REG_BEAR,1.0,10.0,11,36.4,31.91,2.901
BANUSDT,HID_BULL,2.0,10.0,10,20.0,11.63,1.163
GMXUSDT,REG_BEAR,1.5,6.0,15,33.3,18.74,1.249
