symbol,r,exit,max_r,bar_idx,timestamp
AXLUSDT,0.47653171884615986,trailed,0.8858500000000076,547,2025-12-16 13:00:00
AXLUSDT,0.5390551750000097,trailed,0.840750000000008,570,2025-12-16 18:45:00
AXLUSDT,-1.0,sl,0.0,649,2025-12-17 14:30:00
AXLUSDT,2.348562525000012,trailed,3.252249999999995,685,2025-12-17 23:30:00
PENGUUSDT,-1.0,sl,0.0,91,2025-12-11 19:00:00
PENGUUSDT,-1.0,sl,0.30811458333333996,145,2025-12-12 08:30:00
PENGUUSDT,0.8475487916666763,trailed,1.1495833333333574,487,2025-12-15 22:00:00
PENGUUSDT,-1.0,sl,0.0,593,2025-12-17 00:30:00
PENGUUSDT,0.5998881850000127,trailed,1.0016499999999988,638,2025-12-17 11:45:00
PENGUUSDT,0.5106705482785645,trailed,0.8123341158059513,683,2025-12-17 23:00:00
LUNA2USDT,0.4926362881830372,trailed,0.7942799961788342,199,2025-12-12 22:00:00
LUNA2USDT,0.4439292835483892,trailed,0.7455193548387107,250,2025-12-13 10:45:00
LUNA2USDT,1.5970150039572253,trailed,1.8998748663101641,279,2025-12-13 18:00:00
LUNA2USDT,0.7696425956730713,trailed,1.071591346153847,407,2025-12-15 02:00:00
LUNA2USDT,-1.0,sl,0.0,417,2025-12-15 04:30:00
LUNA2USDT,2.6162744743242614,trailed,3.960797297297191,447,2025-12-15 12:00:00
LUNA2USDT,1.2786220623628959,trailed,1.581131306800379,477,2025-12-15 19:30:00
LUNA2USDT,0.49562984422147915,trailed,0.7972768487551105,513,2025-12-16 04:30:00
LUNA2USDT,-1.0,sl,0.4973148688046666,523,2025-12-16 07:00:00
LDOUSDT,-1.0,sl,0.0,134,2025-12-12 05:45:00
LDOUSDT,-1.0,sl,0.1697826086956855,144,2025-12-12 08:15:00
LDOUSDT,0.6210610230768879,trailed,0.9613076923076479,250,2025-12-13 10:45:00
LDOUSDT,1.2691975625000793,trailed,1.5716964285715,282,2025-12-13 18:45:00
LDOUSDT,0.6054586132812505,trailed,0.9072265625000074,361,2025-12-14 14:30:00
LDOUSDT,0.5315929782544232,trailed,0.8332795857988071,598,2025-12-17 01:45:00
LDOUSDT,0.9957593900000127,trailed,1.5265285714285488,698,2025-12-18 02:45:00
POLUSDT,0.43175666666668133,trailed,0.7333333333333457,62,2025-12-11 11:45:00
POLUSDT,-1.0,sl,0.0,161,2025-12-12 12:30:00
POLUSDT,0.8951630249999627,trailed,1.1972499999999766,270,2025-12-13 15:45:00
POLUSDT,0.8743734187500023,trailed,1.1764375000000094,378,2025-12-14 18:45:00
POLUSDT,-1.0,sl,0.17693750000002365,398,2025-12-14 23:45:00
POLUSDT,0.4080384931506927,trailed,0.9972602739726094,441,2025-12-15 10:30:00
POLUSDT,-1.0,sl,0.04022727272728128,487,2025-12-15 22:00:00
