symbol,rr,trades,wins,wr,total_r,avg_r
USELESSUSDT,5,21,4,19.0,2.31,0.11
ONGUSDT,10,27,3,11.1,2.28,0.084
ETCUSDT,7,33,5,15.2,2.27,0.069
BBUSDT,5,26,5,19.2,2.23,0.086
CKBUSDT,10,28,3,10.7,2.1,0.075
ATHUSDT,4,26,6,23.1,2.06,0.079
DEXEUSDT,8,22,3,13.6,1.99,0.09
AXSUSDT,4,30,7,23.3,1.9,0.063
MIRAUSDT,8,15,2,13.3,1.9,0.127
DODOUSDT,4,35,8,22.9,1.83,0.052
CARVUSDT,10,28,3,10.7,1.79,0.064
OBTUSDT,6,24,4,16.7,1.78,0.074
SUPERUSDT,4,26,6,23.1,1.74,0.067
1000BONKUSDT,8,32,4,12.5,1.57,0.049
SXTUSDT,10,29,3,10.3,1.57,0.054
MORPHOUSDT,4,26,6,23.1,1.51,0.058
EPICUSDT,6,25,4,16.0,1.4,0.056
ARKUSDT,10,28,3,10.7,1.37,0.049
NILUSDT,7,21,3,14.3,1.34,0.064
OPUSDT,4,31,7,22.6,1.25,0.04
POPCATUSDT,8,24,3,12.5,1.24,0.052
DASHUSDT,10,19,2,10.5,1.24,0.065
CETUSUSDT,5,32,6,18.8,1.23,0.039
NOTUSDT,8,24,3,12.5,1.1,0.046
HNTUSDT,4,27,6,22.2,0.78,0.029
NEWTUSDT,4,27,6,22.2,0.7,0.026
KAIAUSDT,8,24,3,12.5,0.66,0.028
DBRUSDT,4,22,5,22.7,0.57,0.026
LUMIAUSDT,10,30,3,10.0,0.55,0.018
KERNELUSDT,4,23,5,21.7,0.4,0.018
HOMEUSDT,7,29,4,13.8,0.28,0.01
LQTYUSDT,4,37,8,21.6,0.03,0.001
