symbol,type,side,r,exit,max_r,bars,timestamp
NXPCUSDT,hidden_bearish,short,0.9209944751381223,trailed,1.2209944751381216,4,2025-11-15 04:00:00
NXPCUSDT,hidden_bearish,short,0.7059382422802888,trailed,1.0059382422802876,2,2025-11-15 23:00:00
NXPCUSDT,hidden_bearish,short,0.627350427350426,trailed,0.9273504273504247,3,2025-11-17 10:00:00
NXPCUSDT,hidden_bearish,short,0.9356630824372788,trailed,1.2356630824372787,2,2025-11-25 00:00:00
NXPCUSDT,hidden_bearish,short,3.0,tp,3.17857142857147,1,2025-11-25 23:00:00
NXPCUSDT,hidden_bearish,short,-1.0,loss,0.6624999999999959,11,2025-11-26 18:00:00
NXPCUSDT,hidden_bearish,short,2.3400000000000065,trailed,2.6399999999999957,2,2025-11-29 06:00:00
NXPCUSDT,hidden_bearish,short,0.4540029112081516,trailed,0.7540029112081509,3,2025-12-01 14:00:00
NXPCUSDT,hidden_bearish,short,1.4246376811594095,trailed,1.724637681159411,2,2025-12-02 07:00:00
NXPCUSDT,hidden_bearish,short,0.5799999999999949,trailed,1.0,2,2025-12-06 16:00:00
NXPCUSDT,hidden_bearish,short,1.045454545454561,trailed,1.345454545454561,2,2025-12-09 23:00:00
NXPCUSDT,hidden_bearish,short,0.4121212121212125,trailed,0.8636363636363618,2,2025-12-11 05:00:00
NXPCUSDT,hidden_bearish,short,0.7357792601576695,trailed,1.065494238932685,53,2025-12-16 12:00:00
KASUSDT,hidden_bearish,short,0.5601913171449641,trailed,0.8601913171449618,7,2025-10-04 01:00:00
KASUSDT,hidden_bearish,short,0.7980392156862889,trailed,1.5490196078431457,4,2025-10-09 22:00:00
KASUSDT,hidden_bearish,short,2.387500000000022,trailed,8.765625000000078,2,2025-10-16 12:00:00
KASUSDT,hidden_bearish,short,0.9499999999999955,trailed,1.249999999999996,28,2025-10-17 11:00:00
KASUSDT,hidden_bearish,short,3.0,tp,8.208333333333428,1,2025-10-20 14:00:00
KASUSDT,hidden_bearish,short,0.7217391304347852,trailed,1.0217391304347834,2,2025-10-22 13:00:00
KASUSDT,hidden_bearish,short,0.7682464454976284,trailed,1.0682464454976295,18,2025-10-27 11:00:00
KASUSDT,hidden_bearish,short,-1.0,loss,0.0,3,2025-10-28 05:00:00
KASUSDT,hidden_bearish,short,1.0352601156069396,trailed,1.3352601156069397,3,2025-11-04 22:00:00
KASUSDT,hidden_bearish,short,1.253398058252439,trailed,2.30097087378642,2,2025-11-08 23:00:00
KASUSDT,hidden_bearish,short,1.0783783783783625,trailed,1.9729729729729648,2,2025-11-15 13:00:00
KASUSDT,hidden_bearish,short,-1.0,loss,0.6022727272727312,11,2025-11-22 16:00:00
KASUSDT,hidden_bearish,short,1.7333333333333225,trailed,2.0333333333333203,2,2025-11-30 03:00:00
KASUSDT,hidden_bearish,short,-1.0,loss,0.5789473684210523,7,2025-12-01 21:00:00
KASUSDT,hidden_bearish,short,0.4470355731225274,trailed,0.8115942028985504,5,2025-12-07 02:00:00
KASUSDT,hidden_bearish,short,-1.0,loss,0.5239520958083822,6,2025-12-10 13:00:00
KASUSDT,hidden_bearish,short,1.2000000000000026,trailed,1.5000000000000033,2,2025-12-11 14:00:00
KASUSDT,hidden_bearish,short,0.6102564102564187,trailed,0.9102564102564179,4,2025-12-12 01:00:00
KASUSDT,hidden_bearish,short,0.4865168539325786,trailed,0.7865168539325817,5,2025-12-13 01:00:00
KASUSDT,hidden_bearish,short,0.7594059405940533,trailed,1.5445544554455375,12,2025-12-15 01:00:00
KASUSDT,hidden_bearish,short,-1.0,loss,0.0,1,2025-12-16 08:00:00
SUIUSDT,hidden_bearish,short,0.6004329004329148,trailed,0.9004329004329109,4,2025-10-03 04:00:00
SUIUSDT,hidden_bearish,short,0.9208121827411054,trailed,1.2208121827411087,2,2025-10-15 02:00:00
SUIUSDT,hidden_bearish,short,0.6882747068676744,trailed,2.231155778894477,2,2025-10-16 06:00:00
SUIUSDT,hidden_bearish,short,-1.0,loss,0.3613817537643921,42,2025-10-17 15:00:00
SUIUSDT,hidden_bearish,short,1.8882640586797026,trailed,2.234718826405863,3,2025-10-20 13:00:00
SUIUSDT,hidden_bearish,short,1.1791086350974775,trailed,1.8857938718662777,2,2025-11-04 11:00:00
SUIUSDT,hidden_bearish,short,1.4168949771689427,trailed,2.11415525114155,2,2025-11-09 07:00:00
