symbol,div_type,atr,rr,trades,wr,total_r,avg_r
BANDUSDT,REG_BEAR,1.5,8.0,46,32.6,85.6,1.861
BABYUSDT,HID_BEAR,2.0,7.0,82,40.2,178.99,2.183
BANDUSDT,REG_BEAR,1.5,9.0,46,32.6,100.6,2.187
BANDUSDT,REG_BEAR,1.5,10.0,46,32.6,115.6,2.513
BABYUSDT,HID_BEAR,2.0,8.0,81,39.5,204.01,2.519
BANDUSDT,REG_BEAR,2.0,1.5,46,71.7,33.95,0.738
AXLUSDT,HID_BEAR,2.0,2.0,137,53.3,75.86,0.554
AWEUSDT,HID_BEAR,1.5,10.0,128,37.5,392.18,3.064
BARDUSDT,REG_BULL,2.0,1.5,35,60.0,15.45,0.442
BANDUSDT,REG_BEAR,2.0,2.0,46,60.9,35.45,0.771
BARDUSDT,REG_BULL,2.0,2.0,35,51.4,16.95,0.484
BANUSDT,REG_BEAR,1.0,1.5,50,64.0,26.56,0.531
BANDUSDT,REG_BEAR,2.0,3.0,46,60.9,63.45,1.379
BANANAUSDT,REG_BEAR,1.5,1.5,72,45.8,7.21,0.1
BABYUSDT,HID_BEAR,2.0,9.0,68,27.9,119.36,1.755
BANDUSDT,REG_BEAR,2.0,4.0,46,58.7,86.45,1.879
BARDUSDT,REG_BULL,2.0,4.0,35,28.6,12.95,0.37
BANUSDT,REG_BEAR,1.0,2.0,50,60.0,36.56,0.731
AXLUSDT,HID_BEAR,2.0,3.0,137,48.2,120.86,0.882
AWEUSDT,HID_BEAR,2.0,1.5,128,54.7,41.14,0.321
BANDUSDT,REG_BEAR,2.0,5.0,46,52.2,95.45,2.075
BANUSDT,REG_BEAR,1.0,3.0,50,60.0,66.56,1.331
BANANAS31USDT,HID_BEAR,1.0,1.5,90,50.0,16.44,0.183
BANDUSDT,REG_BEAR,2.0,6.0,46,52.2,119.45,2.597
BANUSDT,REG_BEAR,1.0,4.0,50,52.0,76.56,1.531
BANDUSDT,REG_BEAR,2.0,7.0,46,52.2,143.45,3.118
AXLUSDT,HID_BEAR,2.0,4.0,137,48.2,186.86,1.364
AWEUSDT,HID_BEAR,2.0,2.0,128,48.4,52.14,0.407
BANDUSDT,REG_BEAR,2.0,8.0,46,50.0,158.45,3.445
BANUSDT,REG_BEAR,1.0,5.0,50,52.0,102.56,2.051
BANANAUSDT,REG_BEAR,1.5,4.0,72,38.9,64.71,0.899
BANDUSDT,REG_BEAR,2.0,9.0,46,26.1,71.45,1.553
BANUSDT,REG_BEAR,1.0,6.0,50,50.0,121.56,2.431
BANDUSDT,REG_BEAR,2.0,10.0,46,26.1,83.45,1.814
BANUSDT,REG_BEAR,1.0,7.0,50,28.0,58.56,1.171
BATUSDT,REG_BULL,1.0,4.0,42,31.0,19.64,0.468
BANANAUSDT,REG_BEAR,1.5,5.0,72,25.0,32.71,0.454
AXLUSDT,HID_BEAR,2.0,5.0,137,47.4,246.86,1.802
BATUSDT,REG_BULL,1.0,5.0,42,26.2,20.64,0.491
BANUSDT,REG_BEAR,1.0,8.0,50,28.0,72.56,1.451
BANUSDT,REG_BEAR,1.0,9.0,50,26.0,76.56,1.531
BANANAUSDT,REG_BEAR,1.5,6.0,72,25.0,50.71,0.704
BANANAS31USDT,HID_BEAR,1.0,4.0,90,25.6,18.94,0.21
AXLUSDT,HID_BEAR,2.0,6.0,137,34.3,185.86,1.357
AWEUSDT,HID_BEAR,2.0,4.0,128,42.2,136.14,1.064
BANUSDT,REG_BEAR,1.5,1.5,50,68.0,32.7,0.654
BANANAS31USDT,HID_BEAR,1.0,5.0,90,25.6,41.94,0.466
BANUSDT,REG_BEAR,1.5,2.0,50,68.0,49.7,0.994
BATUSDT,REG_BULL,1.5,1.5,42,59.5,18.26,0.435
AXLUSDT,HID_BEAR,2.0,7.0,137,32.1,208.86,1.525
BANUSDT,REG_BEAR,1.5,3.0,50,60.0,67.7,1.354
AWEUSDT,HID_BEAR,2.0,5.0,128,39.1,166.14,1.298
BATUSDT,REG_BULL,1.5,2.0,42,57.1,27.76,0.661
BANUSDT,REG_BEAR,1.5,4.0,50,50.0,72.7,1.454
BATUSDT,REG_BULL,1.5,3.0,42,50.0,39.76,0.947
BANUSDT,REG_BEAR,1.5,5.0,50,28.0,31.7,0.634
BATUSDT,REG_BULL,1.5,4.0,42,40.5,40.76,0.97
AXLUSDT,HID_BEAR,2.0,8.0,137,32.1,252.86,1.846
AWEUSDT,HID_BEAR,2.0,6.0,128,37.5,202.14,1.579
BATUSDT,REG_BULL,1.5,5.0,42,31.0,33.76,0.804
BANUSDT,REG_BEAR,1.5,6.0,50,26.0,38.7,0.774
BATUSDT,REG_BULL,1.5,6.0,42,28.6,39.76,0.947
BANANAUSDT,REG_BEAR,2.0,1.5,71,62.0,36.57,0.515
BARDUSDT,REG_BEAR,1.5,4.0,44,25.0,7.29,0.166
BATUSDT,REG_BULL,1.5,7.0,42,26.2,43.76,1.042
AXLUSDT,HID_BEAR,2.0,9.0,137,27.0,226.86,1.656
BATUSDT,REG_BULL,1.5,8.0,42,26.2,54.76,1.304
AWEUSDT,HID_BEAR,2.0,7.0,128,37.5,250.14,1.954
BANANAUSDT,REG_BEAR,2.0,2.0,71,60.6,55.57,0.783
BATUSDT,REG_BULL,1.5,9.0,42,26.2,65.76,1.566
BATUSDT,REG_BULL,1.5,10.0,42,26.2,76.76,1.828
BANANAUSDT,REG_BEAR,2.0,3.0,71,56.3,86.57,1.219
BATUSDT,REG_BULL,2.0,1.5,42,59.5,18.82,0.448
BANUSDT,REG_BEAR,2.0,1.5,50,72.0,38.28,0.766
AXLUSDT,HID_BEAR,2.0,10.0,137,25.5,241.86,1.765
AWEUSDT,HID_BEAR,2.0,8.0,128,37.5,298.14,2.329
BATUSDT,REG_BULL,2.0,2.0,42,52.4,22.32,0.531
BANUSDT,REG_BEAR,2.0,2.0,50,64.0,44.28,0.886
BANANAUSDT,REG_BEAR,2.0,4.0,71,42.3,76.57,1.078
BANUSDT,REG_BEAR,2.0,3.0,50,54.0,56.28,1.126
BATUSDT,REG_BULL,2.0,4.0,42,31.0,21.32,0.508
BANANAUSDT,REG_BEAR,2.0,5.0,71,31.0,58.57,0.825
BANUSDT,REG_BEAR,2.0,4.0,50,28.0,18.28,0.366
BATUSDT,REG_BULL,2.0,5.0,42,26.2,22.32,0.531
AWEUSDT,HID_BEAR,2.0,9.0,128,37.5,346.14,2.704
BATUSDT,REG_BULL,2.0,6.0,42,26.2,33.32,0.793
BANANAUSDT,REG_BEAR,2.0,6.0,71,26.8,59.57,0.839
BATUSDT,REG_BULL,2.0,7.0,42,26.2,44.32,1.055
BATUSDT,REG_BULL,2.0,8.0,42,26.2,55.32,1.317
AWEUSDT,HID_BEAR,2.0,10.0,128,37.5,394.14,3.079
BANANAUSDT,REG_BEAR,2.0,7.0,71,25.4,70.57,0.994
