symbol,div_type,atr,rr,avg_r_per_trade,source,tier,test_trades_norm
PROVEUSDT,REG_BEAR,2.0,7.0,0.285,bear_tested,1,6
PTBUSDT,HID_BEAR,1.0,9.0,2.948,bear_tested,1,5
PUFFERUSDT,REG_BEAR,1.5,5.0,1.2,bear_tested,1,8
PUFFERUSDT,REG_BULL,2.0,8.0,0.9555555555555555,bull_tested,1,9
PUMPBTCUSDT,HID_BEAR,2.0,10.0,1.015625,bear_tested,1,16
PUMPFUNUSDT,REG_BEAR,1.5,3.0,0.554,bear_tested,1,5
PUNDIXUSDT,REG_BEAR,2.0,5.0,0.44,bear_tested,1,8
PYTHUSDT,HID_BULL,2.0,3.0,0.9560000000000001,bear_tested,1,10
PYTHUSDT,REG_BEAR,1.0,10.0,0.2725,bear_tested,1,8
QNTUSDT,REG_BULL,2.0,10.0,1.9318181818181819,bull_tested,1,11
QTUMUSDT,REG_BEAR,1.5,9.0,2.2466666666666666,bear_tested,1,6
RAYDIUMUSDT,REG_BULL,1.0,10.0,1.108,bear_tested,1,5
RDNTUSDT,REG_BEAR,1.5,7.0,0.8359523809523809,all_weather,0,84
REDUSDT,REG_BEAR,1.5,9.0,2.934,bear_tested,1,5
RENDERUSDT,HID_BEAR,1.5,1.5,0.71,bear_tested,1,17
RENDERUSDT,REG_BULL,1.5,10.0,0.305,bull_tested,1,8
RESOLVUSDT,HID_BULL,1.5,5.0,0.6471428571428571,bear_tested,1,7
REZUSDT,REG_BEAR,1.5,10.0,2.0714285714285716,bear_tested,1,7
RLCUSDT,REG_BULL,2.0,4.0,0.6188888888888889,bull_tested,1,9
ROAMUSDT,HID_BEAR,1.5,9.0,1.3005882352941176,bear_tested,1,17
RONINUSDT,HID_BEAR,1.5,10.0,0.9304545454545454,bear_tested,1,22
ROSEUSDT,HID_BULL,1.0,10.0,1.107,bear_tested,1,10
RPLUSDT,HID_BULL,1.5,10.0,1.3811111111111112,bear_tested,1,9
RPLUSDT,REG_BEAR,1.5,10.0,1.9363636363636365,bear_tested,1,11
RSRUSDT,HID_BEAR,1.0,10.0,1.4876470588235293,bear_tested,1,17
RSRUSDT,REG_BULL,2.0,10.0,0.5228571428571429,bull_tested,1,7
RUNEUSDT,HID_BEAR,1.0,10.0,2.30375,bear_tested,1,16
RVNUSDT,REG_BULL,1.0,10.0,1.64125,bull_tested,1,8
SAFEUSDT,REG_BULL,2.0,10.0,1.3833333333333333,bull_tested,1,9
SAGAUSDT,HID_BULL,1.0,8.0,1.1766666666666665,bull_tested,1,12
SANDUSDT,HID_BEAR,1.5,6.0,0.32599999999999996,bear_tested,1,10
SANDUSDT,REG_BULL,1.0,2.0,0.72,bear_tested,1,5
SAPIENUSDT,REG_BEAR,2.0,8.0,0.9544444444444444,bear_tested,1,9
SCRTUSDT,HID_BULL,2.0,9.0,2.944,bear_tested,1,5
SCUSDT,REG_BEAR,2.0,10.0,2.9299999999999997,bear_tested,1,11
SEIUSDT,HID_BEAR,2.0,9.0,1.5689473684210526,bear_tested,1,19
SHELLUSDT,REG_BEAR,2.0,10.0,2.1028571428571428,bull_tested,1,7
SHELLUSDT,REG_BULL,1.5,1.5,0.944,bear_tested,1,5
SHIB1000USDT,HID_BULL,2.0,6.0,0.29846938775510207,all_weather,0,98
SIRENUSDT,HID_BULL,2.0,10.0,2.4305263157894736,bear_tested,1,19
SKLUSDT,HID_BULL,1.0,10.0,2.0442857142857145,bear_tested,1,7
SKYAIUSDT,HID_BULL,1.0,4.0,0.23399999999999999,bear_tested,1,15
SLPUSDT,HID_BULL,1.0,3.0,0.3211764705882353,bull_tested,1,17
SNTUSDT,HID_BULL,2.0,10.0,1.108,bull_tested,1,15
