symbol,div_type,atr,rr,trades,wr,total_r,avg_r
SEIUSDT,REG_BULL,2.0,5.0,60,23.3,22.0,0.367
GRIFFAINUSDT,REG_BEAR,1.5,8.0,37,21.6,33.81,0.914
GRTUSDT,HID_BULL,1.0,1.5,130,66.2,72.86,0.56
SEIUSDT,REG_BULL,2.0,6.0,60,23.3,36.0,0.6
STORJUSDT,REG_BULL,1.5,4.0,67,23.9,8.74,0.13
GRTUSDT,HID_BULL,1.0,2.0,130,60.8,94.86,0.73
SEIUSDT,REG_BULL,2.0,7.0,60,23.3,50.0,0.833
GRIFFAINUSDT,REG_BEAR,2.0,1.5,38,63.2,21.1,0.555
GRIFFAINUSDT,REG_BEAR,2.0,2.0,38,57.9,27.1,0.713
STORJUSDT,REG_BULL,1.5,5.0,67,22.4,18.74,0.28
SEIUSDT,REG_BULL,2.0,8.0,60,21.7,55.0,0.917
GRTUSDT,HID_BULL,1.0,3.0,130,56.2,149.86,1.153
GRIFFAINUSDT,REG_BEAR,2.0,4.0,38,36.8,31.1,0.818
SEIUSDT,REG_BULL,2.0,9.0,60,21.7,68.0,1.133
GRIFFAINUSDT,REG_BEAR,2.0,5.0,38,28.9,27.1,0.713
GRIFFAINUSDT,REG_BEAR,2.0,6.0,37,21.6,18.11,0.489
GRTUSDT,HID_BULL,1.0,4.0,130,54.6,212.86,1.637
SEIUSDT,REG_BULL,2.0,10.0,60,21.7,81.0,1.35
CETUSUSDT,HID_BULL,1.0,4.0,80,23.8,9.12,0.114
GRTUSDT,HID_BULL,1.0,5.0,130,52.3,265.86,2.045
GRTUSDT,HID_BULL,1.0,6.0,130,50.0,312.86,2.407
SEIUSDT,REG_BEAR,1.0,4.0,62,30.6,27.35,0.441
USELESSUSDT,REG_BEAR,1.0,1.5,13,46.2,1.54,0.119
USELESSUSDT,REG_BEAR,1.0,2.0,13,46.2,4.54,0.349
CHZUSDT,REG_BEAR,1.0,5.0,90,23.3,24.63,0.274
GRTUSDT,HID_BULL,1.0,7.0,130,48.5,361.86,2.784
USELESSUSDT,REG_BEAR,1.0,4.0,13,23.1,1.54,0.119
USELESSUSDT,REG_BEAR,1.0,5.0,13,23.1,4.54,0.349
GRIFFAINUSDT,HID_BULL,1.0,4.0,46,23.9,6.97,0.151
SEIUSDT,REG_BEAR,1.0,5.0,62,29.0,40.35,0.651
GRIFFAINUSDT,HID_BULL,1.0,5.0,46,21.7,11.97,0.26
USELESSUSDT,REG_BEAR,1.5,1.5,13,53.8,4.19,0.323
CHZUSDT,REG_BEAR,1.0,6.0,90,21.1,31.63,0.351
SEIUSDT,REG_BEAR,1.0,6.0,62,25.8,44.35,0.715
USELESSUSDT,REG_BEAR,1.5,2.0,13,46.2,4.69,0.361
GRTUSDT,HID_BULL,1.0,8.0,130,48.5,424.86,3.268
USELESSUSDT,REG_BEAR,1.5,4.0,13,23.1,1.69,0.13
USELESSUSDT,REG_BEAR,1.5,5.0,13,23.1,4.69,0.361
USELESSUSDT,REG_BEAR,1.5,6.0,13,23.1,7.69,0.592
USELESSUSDT,REG_BEAR,1.5,7.0,13,23.1,10.69,0.823
USELESSUSDT,REG_BEAR,1.5,8.0,13,23.1,13.69,1.053
USELESSUSDT,REG_BEAR,1.5,9.0,13,23.1,16.69,1.284
FUSDT,HID_BEAR,1.0,5.0,64,20.3,9.59,0.15
USELESSUSDT,REG_BEAR,2.0,1.5,13,46.2,1.77,0.136
GRTUSDT,HID_BULL,1.0,9.0,130,48.5,487.86,3.753
USELESSUSDT,REG_BEAR,2.0,4.0,13,23.1,1.77,0.136
USELESSUSDT,REG_BEAR,2.0,5.0,13,23.1,4.77,0.367
STORJUSDT,REG_BULL,2.0,4.0,67,28.4,24.8,0.37
USELESSUSDT,REG_BEAR,2.0,6.0,13,23.1,7.77,0.598
USELESSUSDT,REG_BEAR,2.0,7.0,13,23.1,10.77,0.829
GRTUSDT,HID_BULL,1.0,10.0,130,47.7,539.86,4.153
GRTUSDT,HID_BULL,1.5,1.5,130,63.8,69.41,0.534
SEIUSDT,REG_BEAR,1.5,1.5,62,51.6,14.23,0.23
USELESSUSDT,HID_BULL,1.5,2.0,17,41.2,3.57,0.21
EULUSDT,REG_BEAR,1.0,3.0,10,40.0,4.86,0.486
EULUSDT,REG_BEAR,1.0,4.0,10,30.0,3.86,0.386
USELESSUSDT,HID_BULL,1.5,4.0,17,29.4,7.57,0.445
USELESSUSDT,HID_BULL,1.5,5.0,17,23.5,6.57,0.387
SEIUSDT,REG_BEAR,1.5,2.0,62,46.8,21.23,0.342
EULUSDT,REG_BEAR,1.5,2.0,10,40.0,1.24,0.124
GRTUSDT,HID_BULL,1.5,2.0,130,58.5,89.91,0.692
EULUSDT,REG_BEAR,1.5,5.0,10,20.0,1.24,0.124
EULUSDT,REG_BEAR,1.5,6.0,10,20.0,3.24,0.324
EULUSDT,REG_BEAR,1.5,7.0,10,20.0,5.24,0.524
EULUSDT,REG_BEAR,1.5,8.0,10,20.0,7.24,0.724
EULUSDT,REG_BEAR,1.5,9.0,10,20.0,9.24,0.924
EULUSDT,REG_BEAR,1.5,10.0,10,20.0,11.24,1.124
USELESSUSDT,HID_BULL,2.0,4.0,17,23.5,2.68,0.158
EULUSDT,REG_BEAR,2.0,5.0,10,20.0,1.43,0.143
EULUSDT,REG_BEAR,2.0,6.0,10,20.0,3.43,0.343
EULUSDT,REG_BEAR,2.0,7.0,10,20.0,5.43,0.543
SEIUSDT,REG_BEAR,1.5,4.0,62,30.6,29.23,0.471
GRTUSDT,HID_BULL,1.5,3.0,130,54.6,145.91,1.122
EULUSDT,REG_BEAR,2.0,8.0,10,20.0,7.43,0.743
EULUSDT,REG_BEAR,2.0,9.0,10,20.0,9.43,0.943
EULUSDT,REG_BEAR,2.0,10.0,10,20.0,11.43,1.143
SEIUSDT,REG_BEAR,1.5,5.0,62,24.2,24.23,0.391
CHZUSDT,REG_BEAR,1.5,2.0,90,41.1,13.42,0.149
PIXELUSDT,HID_BEAR,1.5,4.0,97,25.8,23.09,0.238
GRTUSDT,HID_BULL,1.5,4.0,130,50.8,191.91,1.476
SEIUSDT,REG_BEAR,1.5,6.0,62,24.2,39.23,0.633
1000BTTUSDT,HID_BULL,1.5,5.0,79,21.5,14.58,0.185
EULUSDT,HID_BEAR,1.0,1.5,16,68.8,9.95,0.622
EULUSDT,HID_BEAR,1.0,2.0,16,56.2,9.45,0.591
EULUSDT,HID_BEAR,1.0,3.0,16,50.0,14.45,0.903
SEIUSDT,REG_BEAR,1.5,7.0,62,22.6,46.23,0.746
EULUSDT,HID_BEAR,1.0,4.0,16,50.0,22.45,1.403
PIXELUSDT,HID_BEAR,1.5,5.0,97,22.7,30.09,0.31
EULUSDT,HID_BEAR,1.0,5.0,16,50.0,30.45,1.903
GRTUSDT,HID_BULL,1.5,5.0,130,49.2,245.91,1.892
EULUSDT,HID_BEAR,1.0,6.0,16,50.0,38.45,2.403
EULUSDT,HID_BEAR,1.0,7.0,16,43.8,38.45,2.403
EULUSDT,HID_BEAR,1.0,8.0,16,37.5,36.45,2.278
1000BTTUSDT,HID_BULL,1.5,6.0,79,20.3,24.58,0.311
EULUSDT,HID_BEAR,1.0,9.0,16,31.2,32.45,2.028
EULUSDT,HID_BEAR,1.0,10.0,16,31.2,37.45,2.341
EULUSDT,HID_BEAR,1.5,1.5,16,75.0,12.97,0.811
EULUSDT,HID_BEAR,1.5,2.0,16,75.0,18.97,1.186
CHZUSDT,REG_BEAR,1.5,4.0,90,27.8,27.42,0.305
BIGTIMEUSDT,REG_BEAR,1.0,4.0,51,25.5,9.53,0.187
EULUSDT,HID_BEAR,1.5,3.0,16,68.8,26.97,1.686
PIXELUSDT,HID_BEAR,1.5,6.0,97,20.6,38.09,0.393
EULUSDT,HID_BEAR,1.5,4.0,16,68.8,37.97,2.373
GRTUSDT,HID_BULL,1.5,6.0,130,49.2,309.91,2.384
EULUSDT,HID_BEAR,1.5,5.0,16,56.2,36.97,2.311
EULUSDT,HID_BEAR,1.5,6.0,16,50.0,38.97,2.436
EULUSDT,HID_BEAR,1.5,7.0,16,50.0,46.97,2.936
EULUSDT,HID_BEAR,1.5,8.0,16,43.8,45.97,2.873
BIGTIMEUSDT,REG_BEAR,1.0,5.0,51,23.5,16.53,0.324
PHBUSDT,HID_BEAR,1.0,5.0,143,20.3,19.54,0.137
EULUSDT,HID_BEAR,1.5,9.0,16,43.8,52.97,3.311
EULUSDT,HID_BEAR,1.5,10.0,16,43.8,59.97,3.748
USELESSUSDT,HID_BEAR,1.5,4.0,30,23.3,4.24,0.141
EULUSDT,HID_BEAR,2.0,1.5,16,81.2,15.73,0.983
EULUSDT,HID_BEAR,2.0,2.0,16,75.0,19.23,1.202
CHZUSDT,REG_BEAR,1.5,5.0,90,22.2,22.42,0.249
USELESSUSDT,HID_BEAR,1.5,5.0,30,23.3,11.24,0.375
EULUSDT,HID_BEAR,2.0,3.0,16,75.0,31.23,1.952
BIGTIMEUSDT,REG_BEAR,1.0,6.0,51,23.5,28.53,0.559
EULUSDT,HID_BEAR,2.0,4.0,16,62.5,33.23,2.077
GRTUSDT,HID_BULL,1.5,7.0,130,47.7,357.91,2.753
EULUSDT,HID_BEAR,2.0,5.0,16,56.2,37.23,2.327
EULUSDT,HID_BEAR,2.0,6.0,16,50.0,39.23,2.452
EULUSDT,HID_BEAR,2.0,7.0,16,50.0,47.23,2.952
EULUSDT,HID_BEAR,2.0,8.0,16,50.0,55.23,3.452
SEIUSDT,REG_BEAR,2.0,1.5,62,54.8,20.17,0.325
EULUSDT,HID_BEAR,2.0,9.0,16,50.0,63.23,3.952
EULUSDT,HID_BEAR,2.0,10.0,16,50.0,71.23,4.452
STORJUSDT,REG_BEAR,1.0,5.0,74,24.3,24.98,0.338
CHZUSDT,REG_BEAR,1.5,6.0,90,20.0,28.42,0.316
GRTUSDT,HID_BULL,1.5,8.0,130,46.9,410.91,3.161
SEIUSDT,REG_BEAR,2.0,2.0,62,46.8,22.17,0.358
STORJUSDT,REG_BEAR,1.0,6.0,74,21.6,28.98,0.392
GRTUSDT,HID_BULL,1.5,9.0,130,46.9,471.91,3.63
USELESSUSDT,HID_BEAR,2.0,4.0,29,27.6,10.46,0.361
GRIFFAINUSDT,HID_BEAR,1.0,1.5,70,47.1,9.11,0.13
SEIUSDT,REG_BEAR,2.0,4.0,62,29.0,25.17,0.406
FUSDT,HID_BEAR,2.0,4.0,64,28.1,23.8,0.372
GRIFFAINUSDT,HID_BEAR,1.0,2.0,70,44.3,19.61,0.28
SEIUSDT,REG_BEAR,2.0,5.0,62,25.8,31.17,0.503
GRTUSDT,HID_BULL,1.5,10.0,130,46.9,532.91,4.099
FUSDT,HID_BEAR,2.0,5.0,64,21.9,17.8,0.278
BIGTIMEUSDT,REG_BEAR,1.5,4.0,51,27.5,16.02,0.314
GRTUSDT,HID_BULL,2.0,1.5,130,59.2,56.43,0.434
GRIFFAINUSDT,HID_BEAR,1.0,5.0,70,21.4,16.61,0.237
GRTUSDT,HID_BULL,2.0,2.0,130,56.9,85.93,0.661
1000BTTUSDT,HID_BULL,2.0,4.0,79,24.1,9.69,0.123
AVLUSDT,REG_BULL,1.0,1.5,19,47.4,2.43,0.128
AVLUSDT,REG_BULL,1.0,4.0,19,26.3,4.93,0.26
AVLUSDT,REG_BULL,1.0,5.0,19,21.1,3.93,0.207
1000BTTUSDT,HID_BULL,2.0,5.0,79,22.8,22.69,0.287
CHZUSDT,REG_BEAR,2.0,1.5,90,48.9,14.31,0.159
AVLUSDT,REG_BULL,1.0,6.0,19,21.1,7.93,0.417
GRTUSDT,HID_BULL,2.0,3.0,130,50.8,127.93,0.984
AVLUSDT,REG_BULL,1.0,7.0,19,21.1,11.93,0.628
JSTUSDT,HID_BULL,1.5,5.0,127,21.3,17.28,0.136
AVLUSDT,REG_BULL,1.0,8.0,19,21.1,15.93,0.838
AVLUSDT,REG_BULL,1.0,9.0,19,21.1,19.93,1.049
AVLUSDT,REG_BULL,1.0,10.0,19,21.1,23.93,1.26
CHZUSDT,REG_BEAR,2.0,2.0,90,42.2,18.31,0.203
GRTUSDT,HID_BULL,2.0,4.0,130,49.2,183.93,1.415
PIXELUSDT,HID_BEAR,2.0,4.0,97,25.8,24.32,0.251
AVLUSDT,REG_BULL,1.5,4.0,19,31.6,10.29,0.541
LDOUSDT,REG_BULL,1.0,5.0,90,22.2,22.91,0.255
AVLUSDT,REG_BULL,1.5,5.0,19,31.6,16.29,0.857
MYXUSDT,HID_BULL,1.5,4.0,21,23.8,3.36,0.16
MYXUSDT,HID_BULL,1.5,5.0,21,23.8,8.36,0.398
AVLUSDT,REG_BULL,1.5,6.0,19,31.6,22.29,1.173
BIGTIMEUSDT,REG_BEAR,2.0,1.5,51,49.0,9.27,0.182
HUMAUSDT,REG_BULL,1.0,2.0,20,40.0,2.46,0.123
MYXUSDT,HID_BULL,1.5,6.0,21,23.8,13.36,0.636
AVLUSDT,REG_BULL,1.5,7.0,19,31.6,28.29,1.489
