Config,SL,Trail,Filter,Cooldown,N,WR,Total_R,Avg_R,PF,Status
ATR_1x|Trail_Medium_3R|Bearish_Only|CD15,ATR_1x,Trail_Medium_3R,Bearish_Only,15,2879,66.8982285515804,327.2056421885468,0.11365253288938756,1.3301791072791258,✅
Fixed_3%|Static_1:3|All_Signals|CD15,Fixed_3%,Static_1:3,All_Signals,15,4764,32.19983207388749,326.6205914611002,0.06856015773742657,1.1003962772483395,✅
Fixed_3%|Static_1:2|Bearish_Only|CD15,Fixed_3%,Static_1:2,Bearish_Only,15,2879,39.805488016672456,326.2117053198044,0.11330729604717069,1.1866687565435277,✅
ATR_1x|Trail_Loose|All_Signals|CD10,ATR_1x,Trail_Loose,All_Signals,10,5425,59.63133640552996,325.91786432045984,0.060077025681190756,1.1429306800956418,✅
ATR_1.5x|Trail_Medium|All_Signals|CD10,ATR_1.5x,Trail_Medium,All_Signals,10,5425,66.3963133640553,322.2738878003591,0.059405324940158356,1.1708301452661347,✅
Fixed_2%|Trail_Tight|Hidden_Only|CD15,Fixed_2%,Trail_Tight,Hidden_Only,15,3137,68.18616512591647,320.45793518556167,0.10215426687458135,1.3061286656218967,✅
Fixed_2%|Trail_Medium|Hidden_Only|CD5,Fixed_2%,Trail_Medium,Hidden_Only,5,4203,62.26504877468475,319.17521391692026,0.0759398557975066,1.1924660526233166,✅
Fixed_3%|Static_1:3|Hidden_Bearish|CD15,Fixed_3%,Static_1:3,Hidden_Bearish,15,1756,34.16856492027335,318.9176715019918,0.18161598604897025,1.2728880088229455,✅
ATR_1.5x|Static_1:4|Hidden_Only|CD5,ATR_1.5x,Static_1:4,Hidden_Only,5,4203,26.21936711872472,316.2653864917934,0.07524753425928941,1.0991809168634161,✅
Fixed_2%|Static_1:3|Bearish_Only|CD10,Fixed_2%,Static_1:3,Bearish_Only,10,3142,30.2355187778485,315.7894543334097,0.1005058734352036,1.1380527124679223,✅
Fixed_3%|Static_1:3|Hidden_Only|CD5,Fixed_3%,Static_1:3,Hidden_Only,5,4203,32.191291934332625,314.2762537346446,0.07477426926829518,1.1094122627181295,✅
ATR_1.5x|Static_1:4|Hidden_Bearish|CD5,ATR_1.5x,Static_1:4,Hidden_Bearish,5,2247,26.791277258566975,314.2187563891017,0.13983923292794914,1.1851944369704104,✅
ATR_2x|Trail_Tight_3R|Hidden_Only|CD5,ATR_2x,Trail_Tight_3R,Hidden_Only,5,4203,74.89888175113015,314.01709082012127,0.07471260785632197,1.2885327277038154,✅
ATR_1.5x|Trail_Loose|All_Signals|CD5,ATR_1.5x,Trail_Loose,All_Signals,5,7017,59.78338321219895,313.6687431135639,0.044701260241351556,1.1074451056092942,✅
ATR_1.5x|Trail_Tight_3R|Bearish_Only|CD15,ATR_1.5x,Trail_Tight_3R,Bearish_Only,15,2879,74.574505036471,308.2931312849133,0.10708340787944191,1.4055577803898005,✅
