sl_pct,max_r,cooldown,filter,trades,wins,wr,total_r,avg_r
0.0075,6,5,rsi_extreme,23166,16564,71.50133816800484,-471.4222183101373,-0.020349746106800366
0.0075,3,20,rsi_extreme,14918,10783,72.2818072127631,-471.9922740230703,-0.03163911208091368
0.0075,6,10,rsi_extreme,19428,13984,71.9785876055178,-479.8976169476218,-0.024701339146984858
0.0075,5,10,rsi_extreme,19428,13984,71.9785876055178,-500.651878267749,-0.025769604605093113
0.0075,5,5,rsi_extreme,23168,16565,71.49948204419888,-508.91290071285835,-0.02196619909844865
0.0075,4,10,none,35946,25915,72.09425248984587,-516.0535657479425,-0.014356355804482903
0.0075,4,10,rsi_extreme,19428,13985,71.98373481572987,-534.0579808390959,-0.02748908692809841
0.0075,3,20,none,23201,16815,72.47532433946813,-537.9605035299304,-0.0231869533007168
0.0075,3,5,volume,35047,25099,71.6152595086598,-543.249976777466,-0.015500612799311383
0.0075,3,20,hidden,22139,16013,72.32937350377162,-558.8791468859669,-0.02524410076724183
0.0075,3,10,hidden,33252,24050,72.3264766029111,-565.2602491858653,-0.0169992857327639
0.0075,4,5,rsi_extreme,23167,16560,71.48098588509518,-578.1856390104876,-0.02495729438470616
0.0075,3,10,volume,27493,19760,71.8728403593642,-581.5488990422803,-0.02115261699495436
0.0075,4,5,hidden,45413,32516,71.60064298769075,-584.3686352897832,-0.012867871210661776
0.0075,3,10,rsi_extreme,19429,13988,71.9954706881466,-601.4960051461416,-0.030958670294206677
0.0075,3,5,none,50694,36369,71.74221801396615,-685.4585733508337,-0.013521493142202898
0.0075,3,5,rsi_extreme,23170,16565,71.49331031506259,-688.6440382906312,-0.029721365485137298
0.0075,3,10,none,35955,25907,72.05395633430676,-715.1080150550787,-0.01988897274523929
0.005,6,20,volume,21249,13874,65.29248435220481,-770.8702234839183,-0.03627795300879657
0.005,6,20,rsi_extreme,15922,10372,65.14257002889084,-824.6410623086568,-0.05179255510040553
0.005,5,20,volume,21251,13877,65.30045644910828,-837.0659806556476,-0.03938948664324727
0.0075,3,5,hidden,45440,32518,71.5625,-842.7561727474488,-0.018546570703068855
0.005,5,20,rsi_extreme,15922,10372,65.14257002889084,-864.987953379068,-0.054326589208583596
0.005,4,20,rsi_extreme,15925,10374,65.14285714285715,-931.2705770429592,-0.05847852917067248
0.005,6,20,hidden,24437,16052,65.68727748905349,-944.2037691328259,-0.038638284942211644
0.005,4,20,volume,21256,13878,65.28980052691004,-970.6807345663909,-0.045666199405645036
0.005,5,20,hidden,24444,16050,65.66028473244968,-1044.3117345651758,-0.04272262046167468
0.005,3,20,rsi_extreme,15926,10377,65.15760391812131,-1066.6101591930249,-0.06697288454056416
0.005,6,10,volume,30787,19978,64.89102543281255,-1168.6259576996263,-0.037958422636165466
0.005,3,20,volume,21260,13888,65.32455315145815,-1189.0925804271983,-0.05593097744248346
0.005,4,20,hidden,24448,16047,65.63727094240838,-1198.5183249761549,-0.049023164470556074
0.005,6,5,volume,40215,26040,64.75195822454309,-1225.7279536116946,-0.030479372214638683
0.005,6,10,rsi_extreme,20950,13487,64.37708830548927,-1245.8659757925643,-0.05946854299725844
0.005,5,10,volume,30789,19979,64.89005813764656,-1271.9994304371671,-0.041313437605546365
0.005,5,10,rsi_extreme,20950,13488,64.381861575179,-1292.453208867445,-0.06169227727290907
0.005,6,5,rsi_extreme,25363,16258,64.10124985214682,-1324.8204569906893,-0.05223437515241451
0.005,6,20,none,25609,16709,65.24659299465031,-1362.8491670294263,-0.05321758627941061
0.005,6,10,hidden,38004,24896,65.50889380065257,-1375.3612048237846,-0.036189906452578274
0.005,5,5,volume,40226,26045,64.74668125093224,-1381.4609280217899,-0.0343424881425394
0.005,4,10,rsi_extreme,20952,13490,64.38526155021,-1384.243562493391,-0.06606737125302553
0.005,5,20,none,25611,16719,65.28054351645777,-1394.3038648360168,-0.054441601844364404
0.005,5,5,rsi_extreme,25364,16261,64.11055038637438,-1402.6859508775033,-0.055302237457715786
0.005,5,10,hidden,38006,24901,65.51860232594854,-1486.3217170180815,-0.039107554518183485
0.005,4,10,volume,30794,19975,64.86653244138468,-1487.0008199915978,-0.048288654283029094
0.005,3,20,hidden,24453,16033,65.56659714554452,-1494.9944363231057,-0.061137465191310095
0.005,4,20,none,25618,16722,65.2744164259505,-1505.4829351462574,-0.05876660688368559
0.005,4,5,rsi_extreme,25367,16263,64.11085268261914,-1560.5597185594088,-0.06151928562933767
0.005,3,10,rsi_extreme,20958,13498,64.40500047714477,-1561.486414689917,-0.07450550695151813
0.005,4,5,volume,40240,26051,64.73906560636183,-1657.312740198331,-0.04118570427928258
0.005,4,10,hidden,38009,24905,65.52395485279801,-1690.9190926872554,-0.04448733438625734
0.005,6,10,none,41249,26853,65.09975999418167,-1712.465279899879,-0.04151531624766368
0.005,3,20,none,25627,16715,65.22417762516096,-1766.132529580858,-0.06891686617945363
0.005,6,5,hidden,53693,34984,65.1556068761291,-1801.271301887647,-0.0335476002809984
0.005,3,5,rsi_extreme,25374,16268,64.11287144320958,-1833.762178724358,-0.07226933785466848
0.005,5,10,none,41251,26849,65.08690698407311,-1847.1669856834667,-0.04477872016880722
0.005,3,10,volume,30805,19981,64.86284694043175,-1847.6489406602102,-0.05997886514073073
0.005,5,5,hidden,53701,34987,65.15148693692855,-1982.6776920928485,-0.03692068475620284
0.003,6,20,rsi_extreme,16620,7738,46.55836341756919,-2012.6260728301427,-0.12109663494766201
0.005,4,10,none,41261,26862,65.10263929618768,-2046.4103890599474,-0.049596723032886925
0.005,6,5,none,60477,39319,65.01479901450138,-2051.664899165942,-0.0339247135136654
0.005,3,10,hidden,38030,24916,65.51669734420194,-2095.4094059221975,-0.05509885369240593
0.003,5,20,rsi_extreme,16620,7741,46.576413959085436,-2128.1425351483895,-0.12804708394394643
0.005,3,5,volume,40273,26070,64.73319593772503,-2133.0377393924077,-0.05296446103822431
0.005,5,5,none,60484,39334,65.03207459824085,-2187.395112119029,-0.036164855368676495
0.005,4,5,hidden,53728,35006,65.1541095890411,-2262.6938268337835,-0.04211386663999746
0.003,4,20,rsi_extreme,16628,7739,46.54197738753909,-2371.586795570761,-0.14262610028691128
0.005,3,10,none,41284,26901,65.16083712818525,-2417.7734106168937,-0.05856441746480219
0.005,4,5,none,60515,39347,65.02024291497975,-2508.860024725997,-0.04145848177684867
0.003,6,20,volume,22556,10483,46.47543890760773,-2549.3878276430273,-0.11302481945571144
0.003,5,20,volume,22559,10485,46.478124030320494,-2762.9850766023433,-0.12247817175417099
0.003,3,20,rsi_extreme,16633,7738,46.52197438826429,-2777.505228803769,-0.16698762873827747
0.005,3,5,hidden,53779,35047,65.16856021867271,-2784.7519537146677,-0.05178140080170081
0.003,6,10,rsi_extreme,22117,10200,46.11837048424289,-2927.1580083837466,-0.13234878185937274
0.003,5,10,rsi_extreme,22123,10205,46.128463589929034,-3085.4073792702857,-0.13946604797135495
0.003,6,20,hidden,26230,12153,46.332443766679376,-3108.4891557903834,-0.1185089270221267
0.003,4,20,volume,22565,10481,46.44803899844893,-3130.7791379818636,-0.1387449208057551
0.005,3,5,none,60572,39379,65.01188668031433,-3138.3373430854394,-0.05181168432750181
0.003,5,20,hidden,26231,12146,46.30399146048568,-3371.279689460976,-0.12852272843052023
0.003,4,10,rsi_extreme,22130,10209,46.131947582467234,-3381.4651403511825,-0.15280005152965126
0.003,6,20,none,27518,12720,46.22428955592703,-3512.1847881881536,-0.12763226935780775
0.003,6,5,rsi_extreme,27066,12449,45.994975245695706,-3556.5652853232123,-0.1314034318082913
0.003,4,20,hidden,26235,12162,46.357918810749,-3714.5242666226295,-0.14158659297208423
0.003,3,20,volume,22573,10476,46.40942719177779,-3737.868926135512,-0.16559025943098002
0.003,5,20,none,27526,12713,46.18542468938458,-3767.487166036982,-0.13687012882500116
0.003,5,5,rsi_extreme,27071,12454,46.004949946437144,-3788.111801331044,-0.13993246652621047
0.003,6,10,volume,33362,15570,46.66986391703135,-3818.7658695354785,-0.1144645365846016
0.003,3,10,rsi_extreme,22142,10212,46.12049498690272,-3917.692070709982,-0.17693487809186081
0.003,4,20,none,27531,12724,46.216991754749195,-4089.707648262675,-0.1485491863086221
0.003,5,10,volume,33371,15574,46.66926373198286,-4148.127742321619,-0.12430336946215632
0.003,4,5,rsi_extreme,27080,12455,45.993353028064995,-4203.6359130350775,-0.15523027743851836
0.003,3,20,hidden,26251,12182,46.405851205668355,-4348.091187886685,-0.16563525914771568
0.003,3,20,none,27548,12763,46.33004210832002,-4650.71331469513,-0.16882217637197364
0.003,4,10,volume,33388,15579,46.660476818018445,-4685.335292321991,-0.14032991770462414
0.003,6,5,volume,44501,20762,46.655131345363024,-4878.166925225178,-0.10961926530246911
0.003,3,5,rsi_extreme,27104,12464,45.985832349468716,-4899.265265991169,-0.1807580160120709
0.003,6,10,hidden,41962,19455,46.36337638816072,-5012.590378737132,-0.11945546872735169
0.003,5,5,volume,44516,20764,46.64390331566178,-5342.047918944318,-0.12000287354983191
0.003,5,10,hidden,41968,19449,46.34245139153641,-5406.968261039921,-0.1288354999294682
0.003,6,10,none,45783,21385,46.70947731690802,-5457.960709252068,-0.11921369742594562
0.003,3,10,volume,33421,15599,46.67424673109721,-5570.729803714356,-0.16668351646313265
0.003,5,10,none,45794,21381,46.68952264488798,-5862.863421371809,-0.12802689045228216
0.003,4,10,hidden,41994,19470,46.36376625232176,-5967.745857117504,-0.14210948842971624
0.003,4,5,volume,44548,20772,46.628355930681515,-6082.906229289148,-0.13654723510121997
0.003,4,10,none,45823,21398,46.69707352203042,-6476.1843165111795,-0.1413304304936643
0.003,6,5,hidden,61295,28509,46.51113467656416,-6771.678166579245,-0.11047684422186549
0.003,3,10,hidden,42044,19493,46.36333365046142,-7029.954919557999,-0.16720471219574728
0.003,5,5,hidden,61326,28543,46.54306493167661,-7256.007777440737,-0.11831862142387792
0.003,3,5,volume,44605,20802,46.63602735119382,-7308.059157951037,-0.1638394610010321
0.003,6,5,none,69603,32589,46.82125770440929,-7379.116095716873,-0.106017213276969
0.003,3,10,none,45881,21384,46.607528170702466,-7767.82467352443,-0.16930373517413375
0.003,5,5,none,69631,32597,46.813919087762635,-8031.116195486333,-0.11533822859769834
0.003,4,5,hidden,61379,28585,46.57130288861011,-8123.175023053033,-0.1323445318928792
0.003,4,5,none,69705,32664,46.86034000430385,-8967.293706137,-0.128646348269665
0.003,3,5,hidden,61492,28619,46.541013465166195,-9810.548102746234,-0.15954186077451105
0.003,3,5,none,69851,32723,46.846859744312894,-10872.779213259455,-0.15565674382985864
